Unnamed: 0,id,filename,url,desc,createTime,downloadTime,author,collectCount,commentCount,diggCount,playCount,shareCount
24,7342686891881368875,fiji_w1_7342686891881368875.mp4,https://www.tiktok.com/@realchristianmccartney/video/7325260740154232107,silly grandma should I put her in a home? 🤦‍♂️ #silly #fyp #grandma   #horror #scary #creepy ,1709602541,01:36.7,fiji_w1,620900,43300,4800000,34800000,157800
25,7324875128263707947,niekarichard_7324875128263707947.mp4,https://www.tiktok.com/@daddywelness/video/7322538286222707998,To my office 👉🏾 @Adro💰©️ #principalrichard ,1705455406,01:37.8,niekarichard,1000000,134500,11600000,63700000,157600
26,7323350781749431594,thebluerio_7323350781749431594.mp4,https://www.tiktok.com/@luhdaren/video/7328938283940007210,hi babe🥰 #indianringneck #talkingparrot #Love #babe #fyp #foryoupage ,1705100496,01:41.3,thebluerio,326700,23500,4700000,35400000,283200
27,7340709646795017515,khaylena__7340709646795017515.mp4,https://www.tiktok.com/@streamerupdate_/video/7342486984159661358,I guess he wasn’t scared lol 😳😂 #fyp #funny #boymom #toddler ,1709142266,01:42.5,khaylena_,910000,48800,10300000,54400000,362100
28,7344409380407872810,pitts_prodzz_7344409380407872810.mp4,https://www.tiktok.com/@omarnutro/video/7321896399287651630,The Art of NFL Jukes 😳😳 #nfl #football #edit #jukes ,1710003574,01:44.4,pitts_prodzz,15600,452,108500,1300000,2880
29,7335015032805199146,walcolmx_7335015032805199146.mp4,https://www.tiktok.com/@zoetheboer/video/7333610963469389062,This legit made me laugh out loud 😭 he hella goofy 😂😂😂😂😂 #naruto #fyp #viral ,1707816431,01:49.6,walcolmx,118500,4511,582500,4400000,5120
30,7339676616181779755,edmondx_7339676616181779755.mp4,https://www.tiktok.com/@cecelia0256/video/7341820218966052102,Replying to @fifa creator lfc2005 fake everything #fyp #edmondx ,1708901659,32:45.3,edmondx,26500,1609,163800,1700000,1573
31,7332664062075014431,mehhzers_7332664062075014431.mp4,https://www.tiktok.com/@shai_014/video/7353354698050538769,a toaster could probably run better fps than that 💀 #fyp #poppyplaytime #foryou #meme ,1707268906,32:46.9,mehhzers,27000,3814,145900,1200000,1205
32,7322134362437274911,expiredff2_7322134362437274911.mp4,https://www.tiktok.com/@ogdailyfortniteclips/video/7335808332810423598,i guess its his fault not mine 🤷 #footballfusion #roblox #football #footballfusionroblox #footballfusion2 #footballfusionleague #footballfusionclips #footballshowdown #fyp #expiredff2 #ultimatefootball ,1704817328,32:48.4,expiredff2,2775,477,34000,587900,154
33,7346731539478089002,eric_ali18_7346731539478089002.mp4,https://www.tiktok.com/@ytminhofn/video/7344268249464360234,#fypp #fyp #foryoupage He really been gone for 8 months but he said he coming n shi n soon🙏,1710544256,32:51.5,eric_ali18,161900,10200,1100000,4500000,13300
